"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"6223","PLZ (Mandantenanschrift)","ID_KASSZBEL_MANDANTPLZ","string","40","0","10","mandantplz",""
"6224","Ort (Mandantenanschrift)","ID_KASSZBEL_MANDANTORT","string","128","0","10","mandantort",""
"6225","Hinweistext ¨Storno¨","ID_KASSZBEL_STORNO","string","20","0","10","stornotext",""
"6226","Hinweistext ¨Kopie¨","ID_KASSZBEL_KOPIE","string","40","0","10","kopie",""
"6250","EC Betrag (Lastschrift)","ID_KASSZBEL_ECBETRAG","double","20","2","11","ecbetrag",""
"6251","EC Währung (Lastschrift)","ID_KASSZBEL_ECWAEHRUNG","string","20","0","10","ecwaehrung",""
"6252","EC Datum (Lastschrift)","ID_KASSZBEL_ECDATUM","DateTime","10","0","12","ecdatum",""
"6253","EC Uhrzeit (Lastschrift)","ID_KASSZBEL_ECZEIT","string","10","0","10","eczeit",""
"6254","EC Kartennummer (Lastschrift)","ID_KASSZBEL_ECKARTNR","string","40","0","10","eckartnr",""
"6255","EC Kontonummer (Lastschrift)","ID_KASSZBEL_ECKONTONR","string","20","0","10","eckontonr",""
"6256","EC BLZ (Lastschrift)","ID_KASSZBEL_ECBLZ","string","20","0","10","ecblz",""
"6257","EC gültig bs (Lastschrift)","ID_KASSZBEL_ECGUELTIGBIS","string","20","0","10","ecgueltigbis",""
"6258","EC Belegnummer (Lastschrift)","ID_KASSZBEL_ECBELEGNR","int","20","0","11","ecbelegnr",""
"6259","EC Zami Ident (Lastschrift)","ID_KASSZBEL_ECZAMIID","int","8","0","11","eczamiid",""
"6260","EC Kassennummer (Lastschrift)","ID_KASSZBEL_ECKASSE","int","8","0","11","eckasse",""
"6261","EC Kundenname (Lastschrift) lt. Eingabe","ID_KASSZBEL_ECKUNDENNAME","string","40","0","10","eckundenname",""
"6262","EC Bemerkung (Lastschrift) lt. Eingabe","ID_KASSZBEL_ECBEMERKUNG","string","40","0","10","ecbemerkung",""
"6263","EC IBAN (Lastschrift)","ID_KASSZBEL_ECIBAN","string","34","0","10","eciban",""
"6264","EC BIC (Lastschrift)","ID_KASSZBEL_ECBIC","string","11","0","10","ecbic",""
"6300","Steuersatz (Entnahme)","ID_KASSZBEL_ENTNSTEUERSATZ","double","20","2","11","entnsteuersatz",""
"6301","Text ¨Steuersatz¨ (Entnahme)","ID_KASSZBEL_ENTNSTEUERTEXT","string","40","0","10","entnsteuertext",""
"6302","Steuersumme (Entnahme)","ID_KASSZBEL_ENTNSTEUERSUMME","double","20","2","11","entnsteuersumme",""
"6303","Text ¨Steuersumme¨ (Entnahme)","ID_KASSZBEL_ENTNSTEUERSUMMETEXT","string","40","0","10","entnsteuersummetext",""
"6304","Nettosumme (Entnahme)","ID_KASSZBEL_ENTNNETTOSUMME","double","20","2","11","entnnettosumme",""
"6305","Text ¨Nettosumme¨ (Entnahme)","ID_KASSZBEL_ENTNNETTOSUMMETEXT","string","40","0","10","entnnettosummetext",""
"6310","Bankbezeichnung (Einreichung)","ID_KASSZBEL_EINRBANKBEZEICH","string","40","0","10","einrbankbezeich",""
"6311","Bankleitzahl (Einreichung)","ID_KASSZBEL_EINRBANKBLZ","string","20","0","10","einrbankblz",""
"6312","Bemerkungstext (Einreichung)","ID_KASSZBEL_EINRBANKBEM","string","40","0","10","einrbankbem",""
"6313","Bankkonto (Einreichung)","ID_KASSZBEL_EINRBANKKONTO","string","20","0","10","einrbankkonto",""
"6314","IBAN (Einreichung)","ID_KASSZBEL_EINRBANKIBAN","string","34","0","10","einrbankiban",""
"6315","BIC (Einreichung)","ID_KASSZBEL_EINRBANKBIC","string","11","0","10","einrbankbic",""
"6320","ZaMi Nummer (Sortenwechsel)","ID_KASSZBEL_SORWZAMINR","string","20","0","10","sorwzaminr",""
